,Reviews,Date,Names,Tittles
255,"
This app does provide you access to both ebooks and audio books, and I love that it allows me to get access to books I want to read/listen to without having to go to the physical library building.  However, the user interface is a complete mess.  Navigating between libraries is completely confusing.  It isn't clear if I'm checking stuff out from my local library, or from some global OverDrive library.  I have books listed when I visit my account, but clicking on books to try to, say, return a book early may simply take you to an info page about the book.  There are multiple places to view what is on your ""bookshelf"" and usually one is empty while the other has the books from your library.  But sometimes your books are listed in both places!  It isn't clear why, and no all functionality is available in all places.  Sad thing is, they know the UI is bad, and provide links inside the apps to help steps (that may or may not work) to do things like returning books.As this is the only place to checkout online materials for my local library, I'm stuck using the app.  Again, I love that I'm able to check these resources out, and continue to use this app regularly.  It just seems like, with a little effort, this could be a much better app.
","November 3, 2015",Doug Clark,"
Not computer savvy enough, I guess
"
256,"
Better to use on a laptop/PC. Don't care of it on the kindle
","March 8, 2019",Raina,"
App didn't work on my kindle fire HD
"
257,"
I haven't figured it out yet.  Too much for this old lady.
","March 28, 2019",debbie,"
Three Stars
"
258,"
Well, I tried to install this on my kindle fire HD and it didn't work-  when I tried to register it, it kept on failing.  My tech friend was present and he also tried it, and he thought there was a problem in the app.  Who knows?
","June 15, 2014",F. Fonseca,"
It is too difficult to use!!
"
259,"
Just ok. Not what I was looking for.
","May 18, 2018",Amazon Customer,"
It's not the best, but it worked .
"
260,"
It was very difficult to navigate and register. I actually needed to go to the library for help.Supposedly, I have to go through these multiple steps each time I request a book on my kindle fire. I will probably not even use it!!!
","January 24, 2019",Sheldon C. Cohen,"
so far so good
"
261,"
I can't open a library book on my phone and kindle at the same time.  I had to put in my library's name so many times.It's ok, but there doesn't seem to be other options to open ebooks on devices.
","July 31, 2016",BW,"
Never used
"
262,"
I am still trying to figure out how to navigate through my book.  There were none to borrow so I have tried reading the book with my browser.  It works but every time I put it down to do something else I have to start the entry process again. I have not tried to download a full book yet using Overdrive or e enough look for a second book.  We,shall see.
","November 13, 2013",Martha H,Does not work on Kindle fire
263,"
Never opened the app
","August 4, 2019",Deb h.,Libby by Overdrive is a necessary app on Amazon Fire Tablets
264,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Big libraries only!
"
265,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Good service but some glitches
"
266,"
won't work for smaller libraries, it's only for the ones who signed a contract with Amazon i guess.
","January 17, 2019",K,"
Not very user friendly
"
267,"
It jumped ahead when reading a book and did not allow some chapters to be read. I had to frequently turn off app and reenter in order to keep reading. Love the idea though and think these glitches are worth dealing with to get to read current books at no charge.
","May 30, 2016",Kathleen L. Dooley,"
Another confusing issue
"
268,"
It's not very user friendly, but it gets the job done. I wish my library had it's own app, but it is a publicly funded organization. I at least like the fact that I have some avenue to browse ebooks through my library, even if it takes awhile to learn.
","December 3, 2015",Steve Blankenship,"
I also don't always have time to read every day so I feel pressured to finish the book faster that I ordinarily would which affe
"
